	Autore	Titolo	Genere	Numero di prestiti	Data prestito
2004	Pavese Cesare	La luna e i falò			21/12/2004
2004	Deledda Grazia	Canne al vento			21/12/2004
2004	Calvino Italo	Il sentiero dei nidi di ragno			21/12/2004
2004	Fenoglio Beppe	Il partigiano Johnny			21/12/2004
2004	Leopardi Giacomo	Poesie e prose vol.I			22/12/2004
2004	Leopardi Giacomo	Canti e Operette morali			22/12/2004
2004	Leopardi Giacomo	Canti e Operette morali			22/12/2004
2005	Darwin Charles	L'origine della specie			24/01/2005
2005	Ariès Philippe, Duby Georges 	La vita privata			09/02/2005
2005	Ginzburg Natalia	Lessico famigliare			14/02/2005
2005	Ginzburg Natalia	Lessico famigliare			14/02/2005
2005	Aleramo Sibilla	La donna e il femminismo : scritti 1897-1910			14/02/2005
2005	Rowbotham Sheila	Esclusa dalla storia: trecento anni di lotte della donna per la sua liberazione			18/02/2005
2005	AA.VV.	Enciclopedia Monografica FVG 2. La vita economica			18/02/2005
2005	Angelini Franca	Il teatro del Novecento da Pirandello a Fo			18/02/2005
2005	Fiocco Achille	Teatro universale dal Classicismo al Romanticismo			18/02/2005
2005	Fiocco, Achille	Teatro universale dal naturalismo ai giorni nostri			18/02/2005
2005	Aristotele	Opere			18/02/2005
2005	Circolo universitario culturale carnico	Almanacco culturale della Carnia.			18/02/2005
2005	Dostoevskij, Fëdor M.	I fratelli Karamazov			23/02/2005
2005	Neruda Pablo	Le grandi opere di Pablo Neruda			23/02/2005
2005	Berto Giuseppe	Il male oscuro			23/02/2005
2005	Saba Umberto	Antologia del Canzoniere			23/02/2005
2005	Biancale Michele	Arte italiana			23/02/2005
2005	Silva Umberto	Ideologia e arte del fascismo			23/02/2005
2005	De Micheli Mario	Le avanguardie artistiche del Novecento			23/02/2005
2005	Bossaglia Rossana	Il liberty			25/02/2005
2005	Bossaglia Rossana	Il liberty in Italia			25/02/2005
2005	Larsen Egon	L'impiego civile dell'energia atomica			25/02/2005
2005	Vari	Storia d'Europa vol.1			25/02/2005
2005	Petronius Arbiter	Satyricon			28/02/2005
2005	Freud Sigmund	Inibizione, sintomo e angoscia			01/03/2005
2005	Joyce James	Dedalus			01/03/2005
2005	Reichenbach, Hans	Filosofia dello spazio e del tempo			01/03/2005
2005	AA.VV.	Cjase di diu, cjase nestre			01/03/2005
2005	AA.VV.	Storia dell'arte italiana			01/03/2005
2005	Calderón de la Barca, Pedro	La vita è sogno			01/03/2005
2005	AA.VV.	Un tesoro a Perteole			01/03/2005
2005	AA.VV.	Affreschi del Friuli			01/03/2005
